1072, 481, 2
627, 529, 2
1649, 757, 2
110, 761, 13
1163, 325, 4
1196, 1131, 2
1262, 817, 2
1111, 920, 2
657, 1623, 9
1359, 212, 3
150, 209, 2
594, 456, 6
611, 1059, 2
317, 920, 3
1622, 1526, 2
1730, 478, 2
790, 1321, 3
462, 175, 2
17, 1416, 4
1174, 0, 2
1411, 1406, 2
1259, 1510, 4
761, 696, 2
1542, 972, 3
1769, 218, 4
1599, 1477, 3
1616, 0, 2
297, 1579, 2
283, 252, 2
1623, 1416, 2
1, 859, 2
186, 1591, 2
1335, 452, 2
1359, 1138, 4
1327, 1660, 2
1, 74, 2
1117, 1204, 3
1570, 1236, 2
495, 1030, 3
1422, 1422, 4
499, 95, 3
462, 354, 4
676, 1245, 2
1591, 603, 2
1727, 356, 2
980, 1079, 2
931, 966, 2
1235, 683, 2
1423, 1380, 2
1323, 903, 2
181, 723, 2
917, 829, 2
701, 1307, 2
961, 393, 2
1359, 428, 19
958, 156, 4
598, 250, 2
1683, 355, 2
1030, 1475, 2
480, 931, 2
339, 319, 2
1245, 1338, 2
607, 1719, 2
830, 5, 2
1210, 746, 2
386, 319, 2
728, 1574, 2
1852, 30, 2
218, 244, 3
892, 920, 6
768, 1722, 2
748, 831, 2
989, 1264, 2
740, 1001, 2
1176, 683, 2
38, 1072, 2
224, 510, 2
808, 847, 2
179, 1260, 2
1864, 817, 3
1232, 1264, 2
1686, 479, 2
1367, 575, 2
1014, 11, 2
128, 305, 3
68, 238, 2
1213, 1623, 2
1392, 1302, 3
1301, 0, 2
826, 354, 2
826, 244, 2
1699, 495, 4
149, 1668, 2
1487, 1535, 11
495, 873, 2
1715, 691, 4
1695, 495, 3
1210, 881, 2
1059, 549, 3
812, 542, 2
931, 812, 2
1288, 1105, 2
1522, 438, 2
627, 863, 2
402, 942, 2
1327, 1868, 2
14, 1223, 2
244, 1719, 2
1012, 284, 4
495, 519, 3
1194, 812, 2
1416, 1317, 2
156, 193, 4
346, 1423, 2
444, 807, 2
1814, 1525, 2
1667, 1196, 3
467, 994, 2
1133, 1332, 2
291, 260, 2
101, 275, 2
931, 1638, 2
641, 401, 3
1212, 1769, 2
217, 244, 5
1236, 969, 14
23, 1059, 3
495, 1313, 4
1785, 1168, 2
